name,description,code,quantity,quantity_per_user,date_from,date_to,minimum_amount,reduction_amount
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-b418-4976,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044f-90a7-4181,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-7b69-45f1,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0448-4250-427f,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044c-37a0-445f,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-6546-4d68,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-0bde-4968,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0446-4e84-47d4,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0440-4e91-41ea,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044c-a347-48c4,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044e-335b-499c,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0446-6e4f-4567,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-e211-4f8a,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-9cc7-4fa3,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0440-7277-46c0,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-0066-43a5,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-26cb-4f55,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-00f9-49fd,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-3a7e-4426,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-6f13-4a85,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0445-227f-404a,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0440-d73d-4795,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-05d8-47f9,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0448-ebe8-4320,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-75d1-4b4e,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-5d6b-48ab,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0449-084a-439c,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-6846-4ffa,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044f-42f4-40e3,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044e-05c0-45a7,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0449-178a-40b8,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-855c-4664,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-dfa8-4a98,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0445-7c50-460b,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0440-8bbc-4704,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-8787-40cc,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-e05c-42de,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-55c8-44ba,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044e-4354-4621,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044e-5212-4d07,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0445-c9df-4b35,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0448-e177-4cf4,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-1a6b-4d4e,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0449-504e-45da,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-6cb3-4892,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-0830-4515,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0446-4455-4ed9,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-2ddf-4b1c,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-482a-4226,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044c-8543-425a,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0445-9f5c-4e1b,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-87c3-4d90,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044f-fc60-460f,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-9e83-4910,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-2c0f-4ca7,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044f-681b-47bd,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-2cb6-4bf6,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-d848-425c,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0440-2d66-4702,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-0bb7-4f79,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-fe4e-4692,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-1ee6-4b9f,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-3263-450a,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-e654-4d8f,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-0911-4952,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0446-49c4-446a,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0446-693b-4507,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044e-35f1-49ba,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-b054-431a,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-d527-48ef,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-d9e8-47f1,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-ad12-42bc,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044c-9c93-4f83,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0440-367a-421e,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-85fd-44e2,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-0e8c-4a59,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0449-8455-47f3,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044f-3159-4a75,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-715b-4889,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-abaf-445d,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-92b0-425b,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-7a3f-4dbf,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-6270-4960,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044b-2c36-497b,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0448-b250-456c,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0442-db53-40bb,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0443-0ec2-44ea,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-2cd8-4d69,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0441-ed6f-41e4,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0448-0f96-4d26,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-958a-4c17,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044b-3f1b-48d9,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0444-4c8e-4b02,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0449-e906-44c5,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044a-b222-4c61,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,0447-4a90-4c11,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044d-0357-4869,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
Kod 100 jednorazowy,Kupon jednorazowy powyżej 2000 zł,044f-7714-4501,1,1,2025-05-28 12:24:11,2025-12-31 23:59:59,2000.0,100.0
