old z gwiazdka;old;new;typ 301;wild
/shop/4013-319-nagrzewnica-olejowa-z-odprowadzeniem-spalin-master-bv-77-49027*;/shop/4013-319-nagrzewnica-olejowa-z-odprowadzeniem-spalin-master-bv-77-49027;/p/nagrzewnica-olejowa-z-odprowadzeniem-spalin-master-bv-77;301;1
/shop/4012-016-nagrzewnica-elektryczna-master-b-22-epb-49045*;/shop/4012-016-nagrzewnica-elektryczna-master-b-22-epb-49045;/p/nagrzewnica-elektryczna-master-b-22-it;301;1
/shop/category/nagrzewnice-master-1041*;/shop/category/nagrzewnice-master-1041;/c/ogrzewanie-i-chlodzenie;301;1
/shop/category/nagrzewnice-master-1040*;/shop/category/nagrzewnice-master-1040;/c/ogrzewanie-i-chlodzenie;301;1
/shop/category/nagrzewnice-master-1043*;/shop/category/nagrzewnice-master-1043;/c/ogrzewanie-i-chlodzenie;301;1
/shop/category/nagrzewnice-master-1042*;/shop/category/nagrzewnice-master-1042;/c/ogrzewanie-i-chlodzenie;301;1
/shop/category/nagrzewnice-elektryczne-master-1043*;/shop/category/nagrzewnice-elektryczne-master-1043;/c/nagrzewnice-powietrza-elektryczne;301;1
/shop/category/nagrzewnice-gazowe-master-1042*;/shop/category/nagrzewnice-gazowe-master-1042;/c/nagrzewnice-powietrza-gazowe;301;1
/shop/category/olejowe-nagrzewnice-master-bez-odprowadzenia-spalin-1041*;/shop/category/olejowe-nagrzewnice-master-bez-odprowadzenia-spalin-1041;/c/nagrzewnice-olejowe-bez-odprowadzenia-spalin;301;1
/shop/category/wibratory-do-betonu-elektryczne-469*;/shop/category/wibratory-do-betonu-elektryczne-469;/c/wibratory-bulawowe;301;1
/shop/category/wibratory-do-betonu-spalinowe-447*;/shop/category/wibratory-do-betonu-spalinowe-447;/c/wibratory-spalinowe;301;1
/shop/category/wibratory-do-betonu-pneumatyczne-433*;/shop/category/wibratory-do-betonu-pneumatyczne-433;/c/wibratory-pneumatyczne;301;1
/shop/category/wibratory-do-betonu-doczepne-305*;/shop/category/wibratory-do-betonu-doczepne-305;/c/wibratory-przyczepne;301;1
/shop/zageszczarka-gruntu-100kg-altrad-belle-pcx2050-45814*;/shop/zageszczarka-gruntu-100kg-altrad-belle-pcx2050-45814;/p/zageszczarka-jednokierunkowa-altrad-belle-pcx-20-50-honda-gx160;301;1
/shop/5100061217-zageszczarka-jednokierunkowa-wacker-neuson-bps-2050-a-100885*;/shop/5100061217-zageszczarka-jednokierunkowa-wacker-neuson-bps-2050-a-100885;/p/zageszczarka-jednokierunkowa-wacker-neuson-bps-2050-a;301;1
/shop/pc5000e-zageszczarka-jednokierunkowa-90-kg-altrad-belle-pcx-500-honda-gx160-45812*;/shop/pc5000e-zageszczarka-jednokierunkowa-90-kg-altrad-belle-pcx-500-honda-gx160-45812;/p/zageszczarka-jednokierunkowa-altrad-belle-pcx-500-honda-gx160;301;1
/shop/zageszczarka-jednokierunkowa-95kg-btpc-95h-225258*;/shop/zageszczarka-jednokierunkowa-95kg-btpc-95h-225258;/p/zageszczarka-jednokierunkowa-beton-trowel-btpc-95h;301;1
