id_category;category_name;id_product;product_name
1147;"Agregaty prądotwórcze Fogo";130;"Agregat prądotwórczy jednofazowy FOGO FH 3001"
1147;"Agregaty prądotwórcze Fogo";134;"Agregat prądotwórczy jednofazowy FOGO FH 3001"
1147;"Agregaty prądotwórcze Fogo";133;"Agregat prądotwórczy jednofazowy FOGO FH 3001 R"
1147;"Agregaty prądotwórcze Fogo";135;"Agregat prądotwórczy jednofazowy FOGO FH 3541"
1147;"Agregaty prądotwórcze Fogo";137;"Agregat prądotwórczy jednofazowy FOGO FH 4001"
1147;"Agregaty prądotwórcze Fogo";141;"Agregat prądotwórczy jednofazowy FOGO FH 4541"
1147;"Agregaty prądotwórcze Fogo";143;"Agregat prądotwórczy jednofazowy FOGO FH 5001"
1147;"Agregaty prądotwórcze Fogo";144;"Agregat prądotwórczy jednofazowy FOGO FH 5001R"
1147;"Agregaty prądotwórcze Fogo";146;"Agregat prądotwórczy jednofazowy FOGO FH 6001"
1147;"Agregaty prądotwórcze Fogo";149;"Agregat prądotwórczy jednofazowy FOGO FH 6001 CRA"
1147;"Agregaty prądotwórcze Fogo";150;"Agregat prądotwórczy jednofazowy FOGO FH 6001 R"
1147;"Agregaty prądotwórcze Fogo";153;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TE"
1147;"Agregaty prądotwórcze Fogo";155;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TR"
1147;"Agregaty prądotwórcze Fogo";157;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TRA"
1147;"Agregaty prądotwórcze Fogo";158;"Agregat prądotwórczy jednofazowy FOGO FH 6001 TRE"
1147;"Agregaty prądotwórcze Fogo";152;"Agregat prądotwórczy jednofazowy FOGO FH 6001T"
1147;"Agregaty prądotwórcze Fogo";161;"Agregat prądotwórczy jednofazowy FOGO FH 6541"
1147;"Agregaty prądotwórcze Fogo";162;"Agregat prądotwórczy jednofazowy FOGO FH 7001"
1147;"Agregaty prądotwórcze Fogo";164;"Agregat prądotwórczy jednofazowy FOGO FH 7001 R"
1147;"Agregaty prądotwórcze Fogo";166;"Agregat prądotwórczy jednofazowy FOGO FH 7001 T"
1147;"Agregaty prądotwórcze Fogo";168;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TE"
1147;"Agregaty prądotwórcze Fogo";170;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TR"
1147;"Agregaty prądotwórcze Fogo";172;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TRA"
1147;"Agregaty prądotwórcze Fogo";175;"Agregat prądotwórczy jednofazowy FOGO FH 7001 TRE"
1147;"Agregaty prądotwórcze Fogo";179;"Agregat prądotwórczy jednofazowy FOGO FM 3001"
1147;"Agregaty prądotwórcze Fogo";181;"Agregat prądotwórczy jednofazowy FOGO FM 3001R"
1147;"Agregaty prądotwórcze Fogo";182;"Agregat prądotwórczy jednofazowy FOGO FM 3541"
1147;"Agregaty prądotwórcze Fogo";185;"Agregat prądotwórczy jednofazowy FOGO FM 4001"
1147;"Agregaty prądotwórcze Fogo";187;"Agregat prądotwórczy jednofazowy FOGO FM 4001R"
1147;"Agregaty prądotwórcze Fogo";190;"Agregat prądotwórczy jednofazowy FOGO FM 4541"
1147;"Agregaty prądotwórcze Fogo";192;"Agregat prądotwórczy jednofazowy FOGO FM 6001"
1147;"Agregaty prądotwórcze Fogo";195;"Agregat prądotwórczy jednofazowy FOGO FM 6001E"
1147;"Agregaty prądotwórcze Fogo";196;"Agregat prądotwórczy jednofazowy FOGO FM 6001R"
1147;"Agregaty prądotwórcze Fogo";199;"Agregat prądotwórczy jednofazowy FOGO FM 6001RE"
1147;"Agregaty prądotwórcze Fogo";201;"Agregat prądotwórczy jednofazowy FOGO FM 6541"
1147;"Agregaty prądotwórcze Fogo";203;"Agregat prądotwórczy jednofazowy FOGO FV 10001 CRA"
1147;"Agregaty prądotwórcze Fogo";206;"Agregat prądotwórczy jednofazowy FOGO FV 10001 TE"
1147;"Agregaty prądotwórcze Fogo";209;"Agregat prądotwórczy jednofazowy FOGO FV 10001 TRA"
1147;"Agregaty prądotwórcze Fogo";212;"Agregat prądotwórczy jednofazowy FOGO FV 10001 TRE"
1147;"Agregaty prądotwórcze Fogo";216;"Agregat prądotwórczy jednofazowy FOGO FV 11001 CRA"
1147;"Agregaty prądotwórcze Fogo";218;"Agregat prądotwórczy jednofazowy FOGO FV 11001 TE"
1147;"Agregaty prądotwórcze Fogo";221;"Agregat prądotwórczy jednofazowy FOGO FV 11001 TRA"
1147;"Agregaty prądotwórcze Fogo";222;"Agregat prądotwórczy jednofazowy FOGO FV 11001 TRE"
1147;"Agregaty prądotwórcze Fogo";225;"Agregat prądotwórczy jednofazowy FOGO FV 17001 CRA"
1147;"Agregaty prądotwórcze Fogo";227;"Agregat prądotwórczy jednofazowy FOGO FV 17001 TRA"
1147;"Agregaty prądotwórcze Fogo";229;"Agregat prądotwórczy jednofazowy FOGO FV 17001 TRE"
1147;"Agregaty prądotwórcze Fogo";235;"Agregat prądotwórczy jednofazowy Fogo Zestaw 2 x F2001iS Combo inwerterowy"
1147;"Agregaty prądotwórcze Fogo";344;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 18"
1147;"Agregaty prądotwórcze Fogo";347;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 22"
1147;"Agregaty prądotwórcze Fogo";349;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 22 R"
1147;"Agregaty prądotwórcze Fogo";351;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 27"
1147;"Agregaty prądotwórcze Fogo";353;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 38"
1147;"Agregaty prądotwórcze Fogo";354;"Agregat prądotwórczy na WOM traktorowy FOGO AGROVOLT AV 38 R"
1147;"Agregaty prądotwórcze Fogo";385;"Agregat prądotwórczy trójfazowy FOGO FH 6000"
1147;"Agregaty prądotwórcze Fogo";387;"Agregat prądotwórczy trójfazowy FOGO FH 6000 R"
1147;"Agregaty prądotwórcze Fogo";391;"Agregat prądotwórczy trójfazowy FOGO FH 8000"
1147;"Agregaty prądotwórcze Fogo";396;"Agregat prądotwórczy trójfazowy FOGO FH 8000 TE"
1147;"Agregaty prądotwórcze Fogo";397;"Agregat prądotwórczy trójfazowy FOGO FH 8000 TR"
1147;"Agregaty prądotwórcze Fogo";400;"Agregat prądotwórczy trójfazowy FOGO FH 8000 TRE"
1147;"Agregaty prądotwórcze Fogo";392;"Agregat prądotwórczy trójfazowy Fogo FH 8000R"
1147;"Agregaty prądotwórcze Fogo";394;"Agregat prądotwórczy trójfazowy FOGO FH 8000T"
1147;"Agregaty prądotwórcze Fogo";398;"Agregat prądotwórczy trójfazowy FOGO FH 8000TRA"
1147;"Agregaty prądotwórcze Fogo";402;"Agregat prądotwórczy trójfazowy FOGO FH 9000"
1147;"Agregaty prądotwórcze Fogo";405;"Agregat prądotwórczy trójfazowy FOGO FH 9000 CRA"
1147;"Agregaty prądotwórcze Fogo";407;"Agregat prądotwórczy trójfazowy FOGO FH 9000 R"
1147;"Agregaty prądotwórcze Fogo";410;"Agregat prądotwórczy trójfazowy FOGO FH 9000 TE"
1147;"Agregaty prądotwórcze Fogo";412;"Agregat prądotwórczy trójfazowy FOGO FH 9000 TR"
1147;"Agregaty prądotwórcze Fogo";408;"Agregat prądotwórczy trójfazowy FOGO FH 9000T"
1147;"Agregaty prądotwórcze Fogo";414;"Agregat prądotwórczy trójfazowy FOGO FH 9000TRA"
1147;"Agregaty prądotwórcze Fogo";415;"Agregat prądotwórczy trójfazowy FOGO FH 9000TRE"
1147;"Agregaty prądotwórcze Fogo";418;"Agregat prądotwórczy trójfazowy FOGO FH 9540"
1147;"Agregaty prądotwórcze Fogo";423;"Agregat prądotwórczy trójfazowy FOGO FH 9540 TRE"
